chr	start	end	gene_symbol	exon	transcript_id
chr1	69091	70008	OR4F5	1	NM_001005484
chr1	923923	924948	SAMD11	1	NM_001385641
chr1	925922	926013	SAMD11	2	NM_001385641
chr1	930155	930336	SAMD11	3	NM_001385641
chr1	931039	931089	SAMD11	4	NM_001385641
chr1	935772	935896	SAMD11	5	NM_001385641
chr1	939040	939129	SAMD11	6	NM_001385641
chr1	939275	939412	SAMD11	7	NM_001385641
chr1	941144	941306	SAMD11	8	NM_001385641
chr1	942136	942251	SAMD11	9	NM_001385641
chr1	942410	942488	SAMD11	10	NM_001385641
chr1	942559	943058	SAMD11	11	NM_001385641
chr1	943253	943377	SAMD11	12	NM_001385641
chr1	943698	943808	SAMD11	13	NM_001385641
chr1	943908	944574	SAMD11	14	NM_001385641
chr1	960584	960800	KLHL17	1	NM_198317
chr1	961293	961552	KLHL17	2	NM_198317
chr1	961629	961750	KLHL17	3	NM_198317
chr1	961826	962047	KLHL17	4	NM_198317
chr1	962355	962471	KLHL17	5	NM_198317
chr1	962704	962917	KLHL17	6	NM_198317
chr1	963109	963253	KLHL17	7	NM_198317
chr1	963337	963504	KLHL17	8	NM_198317
chr1	963920	964008	KLHL17	9	NM_198317
chr1	964107	964180	KLHL17	10	NM_198317
chr1	964349	964530	KLHL17	11	NM_198317
chr1	964963	965719	KLHL17	12	NM_198317
chr1	966482	966614	PLEKHN1	1	NM_032129
chr1	966704	966803	PLEKHN1	2	NM_032129
chr1	970277	970423	PLEKHN1	3	NM_032129
chr1	970521	970601	PLEKHN1	4	NM_032129
chr1	970686	970758	PLEKHN1	5	NM_032129
chr1	970879	971006	PLEKHN1	6	NM_032129
chr1	971113	971208	PLEKHN1	7	NM_032129
chr1	971324	971404	PLEKHN1	8	NM_032129
chr1	972075	972150	PLEKHN1	9	NM_032129
chr1	972288	972424	PLEKHN1	10	NM_032129
chr1	972861	973010	PLEKHN1	11	NM_032129
chr1	973186	973326	PLEKHN1	12	NM_032129
chr1	973500	973640	PLEKHN1	13	NM_032129
chr1	973833	974051	PLEKHN1	14	NM_032129
chr1	974316	974364	PLEKHN1	15	NM_032129
chr1	974442	975865	PLEKHN1	16	NM_032129
chr1	1013497	1013576	ISG15	1	NM_005101
chr1	1013984	1014539	ISG15	2	NM_005101
chr1	1020120	1020373	AGRN	1	NM_198576
chr1	1022201	1022462	AGRN	2	NM_198576
chr1	1035277	1035324	AGRN	3	NM_198576
chr1	1040665	1040880	AGRN	4	NM_198576
chr1	1041173	1041397	AGRN	5	NM_198576
chr1	1041478	1041702	AGRN	6	NM_198576
chr1	1041956	1042162	AGRN	7	NM_198576
chr1	1043239	1043457	AGRN	8	NM_198576
chr1	1043538	1043732	AGRN	9	NM_198576
