CONTIG_NAME	PLOIDY_PRIOR_0	PLOIDY_PRIOR_1	PLOIDY_PRIOR_2	PLOIDY_PRIOR_3	PLOIDY_PRIOR_4
chr1	0.001	0.001	0.996	0.001	0.001
chr2	0.001	0.001	0.996	0.001	0.001
chr3	0.001	0.001	0.996	0.001	0.001
chr4	0.001	0.001	0.996	0.001	0.001
chr5	0.001	0.001	0.996	0.001	0.001
chr6	0.001	0.001	0.996	0.001	0.001
chr7	0.001	0.001	0.996	0.001	0.001
chr8	0.001	0.001	0.996	0.001	0.001
chr9	0.001	0.001	0.996	0.001	0.001
chr10	0.001	0.001	0.996	0.001	0.001
chr11	0.001	0.001	0.996	0.001	0.001
chr12	0.001	0.001	0.996	0.001	0.001
chr13	0.001	0.001	0.996	0.001	0.001
chr14	0.001	0.001	0.996	0.001	0.001
chr15	0.001	0.001	0.996	0.001	0.001
chr16	0.001	0.001	0.996	0.001	0.001
chr17	0.001	0.001	0.996	0.001	0.001
chr18	0.001	0.001	0.996	0.001	0.001
chr19	0.001	0.001	0.996	0.001	0.001
chr20	0.001	0.001	0.996	0.001	0.001
chr21	0.001	0.001	0.996	0.001	0.001
chr22	0.001	0.001	0.996	0.001	0.001
chrX	0.001	0.498	0.499	0.001	0.001
chrY	0.498	0.499	0.001	0.001	0.001
